Gene,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
Pbr000545.1,,128890000.0,160110000.0,107200000.0,173080000.0,136870000.0
Pbr000546.1,350450000.0,600840000.0,669920000.0,1205600000.0,318970000.0,860870000.0
Pbr000550.1,39330000.0,50559000.0,53817000.0,70690000.0,,
Pbr000551.1,770340000.0,1122800000.0,1314300000.0,2556400000.0,1394800000.0,1654000000.0
Pbr000552.2,,18110000.0,14968000.0,,16654000.0,87324000.0
Pbr000553.1,1653300000.0,1032100000.0,1221300000.0,1304800000.0,1386700000.0,1327600000.0
Pbr000554.1,,,,,,
Pbr000555.1,213050000.0,226760000.0,261730000.0,267710000.0,279600000.0,144590000.0
Pbr000556.1,,81767000.0,,,,
Pbr000557.1,,41406000.0,,,,60525000.0
Pbr000558.1,,,,,,
Pbr000559.1,2370700000.0,824190000.0,19190000.0,,,
Pbr000561.1,1065000000.0,1475300000.0,1537600000.0,631070000.0,98733000.0,256650000.0
Pbr000568.1,,,,80269000.0,,
Pbr000569.2,1692500000.0,1022200000.0,804060000.0,944580000.0,1439700000.0,1606200000.0
Pbr000573.1,,140490000.0,166240000.0,,,
Pbr000574.1,12184000000.0,6842000000.0,8054800000.0,9114300000.0,6454300000.0,6930400000.0
Pbr000575.1,556370000.0,430980000.0,2319500000.0,1406900000.0,1539200000.0,1971500000.0
Pbr000580.1,225270000.0,60455000.0,,,,
Pbr000581.1,113310000.0,82211000.0,143410000.0,108510000.0,175200000.0,
Pbr000582.1,839550000.0,1227700000.0,3015000000.0,1779500000.0,383170000.0,248740000.0
Pbr000583.1,,,,,,
Pbr000591.1,3685200000.0,2699200000.0,1390300000.0,248550000.0,,359630000.0
Pbr000593.1,2146800000.0,1116900000.0,1033000000.0,1510800000.0,1247200000.0,1034900000.0
Pbr000594.1,,42204000.0,,,,
Pbr000595.2,235140000.0,356070000.0,473600000.0,468370000.0,638840000.0,506010000.0
Pbr000598.1,3149100.0,14280000.0,15636000.0,,,
Pbr000600.1,,,,,,
Pbr000601.7,23855000000.0,33163000000.0,33191000000.0,43164000000.0,58514000000.0,64733000000.0
Pbr000602.1,239940000.0,76953000.0,,,,
Pbr000606.1,974260000.0,839950000.0,1034600000.0,1225500000.0,1119100000.0,852190000.0
Pbr000613.1,,,,,,
