Gene,nnpredresult,baggingpredresult,lrpredresult,svmpredresult,xgbpredresult
Pbr004850.1,0.2895841524004936,0.16016666666666673,0.37955921832728096,0.32282722078532156,0.2564789063297212
Pbr005786.1,0.47042538821697233,0.41916666666666674,0.5080524801990546,0.5161298705200993,0.4448966797441244
Pbr018970.1,0.6635337948799134,0.7493333333333334,0.6487051954402344,0.7310752691629094,0.7207967564463615
Pbr008798.1,0.523456072807312,0.27216666666666667,0.5806150147894618,0.6985106617243007,0.30585765317082403
Pbr016960.1,0.4917045459151268,0.3386666666666668,0.46699834915911814,0.4175682981613251,0.35052109211683274
Pbr019357.1,0.6116622984409332,0.602,0.6467332838124956,0.7301470760344372,0.4564096316695213
Pbr021467.1,0.5032828241586685,0.5920000000000001,0.5674614960027735,0.7055347899124479,0.5686443910002709
Pbr002448.1,0.31799169033765795,0.35733333333333345,0.3972618432977806,0.34679800194341337,0.2718447824474424
Pbr002461.2,0.7415006577968597,0.5116666666666668,0.7351717826272939,0.7780612663927208,0.45606870353221896
Pbr031317.1,0.4109232842922211,0.238,0.4751578400624612,0.41162531632670263,0.2654603482224047
Pbr019678.1,0.3732249468564987,0.17216666666666672,0.4552000311485255,0.4030182386490238,0.2738942128140479
Pbr012161.1,0.7674703091382981,0.6291666666666665,0.7376490508766349,0.759953158724143,0.7392747670412063
Pbr006979.1,0.08807103782892227,0.09833333333333334,0.14796821378380734,0.41737063707146554,0.2615605500061065
Pbr025209.1,0.3471119701862335,0.5731666666666666,0.41028684951269867,0.3080297811407295,0.5934137150645256
Pbr009871.1,0.5343134507536889,0.3593333333333334,0.5244164336611707,0.5313381671160713,0.2763185302261263
Pbr026952.1,0.5303724601864814,0.4741666666666666,0.5367048021713068,0.6083784894871159,0.42538108974695205
Pbr013147.1,0.28620222508907317,0.4121666666666667,0.3541560900615591,0.25242958062875054,0.4498545803129673
Pbr021423.1,0.19999960919836704,0.634,0.05001440967054519,0.6094268380215289,0.6114710792899132
Pbr034590.1,0.15911471247673034,0.1095,0.23699256881835815,0.13781873861931854,0.2469243766972795
Pbr029859.1,0.43704863935709,0.6131666666666666,0.5205728957456508,0.529014544258996,0.4747097723186016
Pbr025726.1,0.5500471517443657,0.704,0.524171299248419,0.591590714663174,0.6983106955885887
Pbr001543.2,0.4914433345198631,0.6596666666666668,0.48233196003895273,0.5011929262419349,0.6128690496087075
Pbr030708.2,0.5463833451271057,0.3625,0.6124880287282222,0.6744172342639533,0.32706821002066133
Pbr020542.1,0.25020029991865156,0.5158333333333334,0.3740905986765509,0.2772988277327516,0.5047884859144688
Pbr030943.1,0.28604290038347246,0.378,0.36348251105029594,0.3242814166070743,0.4472226858139038
Pbr032036.1,0.6903566598892212,0.5435,0.6803309738702298,0.7338735994572124,0.5340845242142678
Pbr014263.1,0.5619529440999032,0.6896666666666665,0.4813883472035907,0.6898834428884365,0.7407782942056655
